page_path,date,day_of_week_name,source_medium,source,medium,social_network,has_social_source_referral,pageviews,unique_pageviews
/webinars/,2020-03-30,Monday,t.co / referral,t.co,referral,Twitter,Yes,2,2
/webinars/,2020-03-30,Monday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,3,3
/webinars/,2020-03-30,Monday,Website Subscribers / email,Website Subscribers,email,(not set),No,1,1
/webinars/,2020-03-31,Tuesday,(direct) / (none),(direct),(none),(not set),No,10,10
/webinars/,2020-03-31,Tuesday,bing / organic,bing,organic,(not set),No,1,1
/webinars/,2020-03-31,Tuesday,CodeClan Employer Partners 2018 / email,CodeClan Employer Partners 2018,email,(not set),No,4,2
/webinars/,2020-03-31,Tuesday,eventbrite.co.uk / referral,eventbrite.co.uk,referral,(not set),No,2,1
/webinars/,2020-03-31,Tuesday,google / cpc,google,cpc,(not set),No,3,2
/webinars/,2020-03-31,Tuesday,google / organic,google,organic,(not set),No,9,9
/webinars/,2020-03-31,Tuesday,linkedin.com / referral,linkedin.com,referral,LinkedIn,Yes,4,4
/webinars/,2020-03-31,Tuesday,m.facebook.com / referral,m.facebook.com,referral,Facebook,Yes,5,5
/webinars/,2020-03-31,Tuesday,t.co / referral,t.co,referral,Twitter,Yes,1,1
/webinars/,2020-03-31,Tuesday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/,2020-04-01,Wednesday,(direct) / (none),(direct),(none),(not set),No,8,6
/webinars/,2020-04-01,Wednesday,bing / organic,bing,organic,(not set),No,1,1
/webinars/,2020-04-01,Wednesday,google / cpc,google,cpc,(not set),No,1,1
/webinars/,2020-04-01,Wednesday,google / organic,google,organic,(not set),No,8,8
/webinars/,2020-04-01,Wednesday,linkedin.com / referral,linkedin.com,referral,LinkedIn,Yes,4,3
/webinars/,2020-04-01,Wednesday,t.co / referral,t.co,referral,Twitter,Yes,1,1
/webinars/,2020-04-01,Wednesday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/,2020-04-02,Thursday,(direct) / (none),(direct),(none),(not set),No,8,7
/webinars/,2020-04-02,Thursday,google / cpc,google,cpc,(not set),No,2,2
/webinars/,2020-04-02,Thursday,google / organic,google,organic,(not set),No,5,5
/webinars/,2020-04-02,Thursday,linkedin.com / referral,linkedin.com,referral,LinkedIn,Yes,1,1
/webinars/,2020-04-02,Thursday,readymag.com / referral,readymag.com,referral,(not set),No,1,1
/webinars/,2020-04-02,Thursday,t.co / referral,t.co,referral,Twitter,Yes,8,7
/webinars/,2020-04-02,Thursday,Website Subscribers / email,Website Subscribers,email,(not set),No,1,1
/webinars/,2020-04-03,Friday,google / cpc,google,cpc,(not set),No,1,1
/webinars/,2020-04-03,Friday,google / organic,google,organic,(not set),No,3,3
/webinars/,2020-04-03,Friday,t.co / referral,t.co,referral,Twitter,Yes,3,3
/webinars/,2020-04-03,Friday,us11.admin.mailchimp.com / referral,us11.admin.mailchimp.com,referral,(not set),No,1,1
/webinars/,2020-04-04,Saturday,(direct) / (none),(direct),(none),(not set),No,3,3
