page_title,page_path,date,day_of_week_name,url,after_?,pageviews,unique_pageviews
Webinars - CodeClan,/webinars/?fbclid=IwAR0DVoAHsDKhn1COx3wbeId2RmyGGwkN6YeEVqGCgzq9SXCFDqyEYFyeEes,2020-03-31,Tuesday,/webinars/,fbclid=IwAR0DVoAHsDKhn1COx3wbeId2RmyGGwkN6YeEVqGCgzq9SXCFDqyEYFyeEes,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR0YsGs8frnLyu1Q9YQTE3eXZWtcHosku97_KkQWBi4D52UEDUmGKmtO2Yc,2020-03-19,Thursday,/webinars/,fbclid=IwAR0YsGs8frnLyu1Q9YQTE3eXZWtcHosku97_KkQWBi4D52UEDUmGKmtO2Yc,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR1ZjALev-prSz7RnhjJBGjfzgkizKP-nxDt67FrR_reT6hPhIoyhvxwcV8,2020-03-19,Thursday,/webinars/,fbclid=IwAR1ZjALev-prSz7RnhjJBGjfzgkizKP-nxDt67FrR_reT6hPhIoyhvxwcV8,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2c7SPZcRR9idpP_kctJRycgeq8RqvgWd1NCJBlfEipulvbgvpscr34WCs,2020-03-19,Thursday,/webinars/,fbclid=IwAR2c7SPZcRR9idpP_kctJRycgeq8RqvgWd1NCJBlfEipulvbgvpscr34WCs,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2h2oGSxo4ew1QYxMdZVttw6_-wO-pFBSYDUNrZPIJ8vlTJNHpz8m_dtrE,2020-04-12,Sunday,/webinars/,fbclid=IwAR2h2oGSxo4ew1QYxMdZVttw6_-wO-pFBSYDUNrZPIJ8vlTJNHpz8m_dtrE,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2h2oGSxo4ew1QYxMdZVttw6_-wO-pFBSYDUNrZPIJ8vlTJNHpz8m_dtrE,2020-04-13,Monday,/webinars/,NA,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,2020-03-19,Thursday,/webinars/,fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,2020-04-04,Saturday,/webinars/,fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,2,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2Kp5S_h3fYqq1Raha_5Df2c59GWd0VYFmvVdRk0VC6xm8MXHoMu8PRhR4,2020-03-19,Thursday,/webinars/,fbclid=IwAR2Kp5S_h3fYqq1Raha_5Df2c59GWd0VYFmvVdRk0VC6xm8MXHoMu8PRhR4,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2r8kbtO1UF0vnHKCseYbygeMJ8pXRS6CojbHlqvfugxYfVogu0hyw4CO4,2020-03-19,Thursday,/webinars/,fbclid=IwAR2r8kbtO1UF0vnHKCseYbygeMJ8pXRS6CojbHlqvfugxYfVogu0hyw4CO4,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR32-YCc_YniV_rWqU5tVzXFlsRdCv44ifR6OM2eFq9LGYLiJ10Hr5uJxdg,2020-03-19,Thursday,/webinars/,fbclid=IwAR32-YCc_YniV_rWqU5tVzXFlsRdCv44ifR6OM2eFq9LGYLiJ10Hr5uJxdg,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR3Y8F3G_PruHPZpkS804ypmxUbnDyHXQAC4jCKQoF-jl4b3AYUPjQw6dD4,2020-03-19,Thursday,/webinars/,fbclid=IwAR3Y8F3G_PruHPZpkS804ypmxUbnDyHXQAC4jCKQoF-jl4b3AYUPjQw6dD4,1,1
Webinars - CodeClan,/webinars/?preview_id=19875&preview_nonce=295af978d6&preview=true,2020-04-10,Friday,/webinars/,NA,1,1
Webinars - CodeClan,/webinars/?preview_id=19875&preview_nonce=55f2ba9986&preview=true,2020-04-03,Friday,/2020-new-data-analysis/,preview_id=26451&preview_nonce=ce58be89ae&preview=true,1,1
Webinars - CodeClan,/webinars/?preview_id=19875&preview_nonce=dda609d1fc&preview=true,2020-04-10,Friday,/,NA,1,1
