pageTitle,pagePath,date,dayOfWeekName,previousPagePath,pageviews,uniquePageviews
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/coronavirus/,1,1
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/courses/data-analysis/cost-and-funding/,1,1
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/courses/edinburgh/,1,1
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/courses/professional-software-development/,3,3
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/events/,1,1
Webinars - CodeClan,/webinars/,2020-03-26,Thursday,/webinars/,10,0
Webinars - CodeClan,/webinars/,2020-03-27,Friday,(entrance),5,5
Webinars - CodeClan,/webinars/,2020-03-27,Friday,/about-us/,1,1
Webinars - CodeClan,/webinars/,2020-03-27,Friday,/courses/full-stack-web-development/,1,1
Webinars - CodeClan,/webinars/,2020-03-27,Friday,/for-employers/,1,1
Webinars - CodeClan,/webinars/,2020-03-28,Saturday,(entrance),2,2
Webinars - CodeClan,/webinars/,2020-03-28,Saturday,/,2,2
Webinars - CodeClan,/webinars/,2020-03-28,Saturday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-03-28,Saturday,/webinars/,1,0
Webinars - CodeClan,/webinars/,2020-03-29,Sunday,(entrance),3,3
Webinars - CodeClan,/webinars/,2020-03-29,Sunday,/,2,2
Webinars - CodeClan,/webinars/,2020-03-29,Sunday,/courses/data-analysis/,2,2
Webinars - CodeClan,/webinars/,2020-03-29,Sunday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-03-29,Sunday,/glasgow/,1,1
Webinars - CodeClan,/webinars/,2020-03-29,Sunday,/webinars/,1,0
Webinars - CodeClan,/webinars/,2020-03-30,Monday,(entrance),8,8
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/,5,4
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/2020-new-data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/blog/meet-the-team-katie-jeffree/,1,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/courses/,1,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/courses/agile-for-effective-teams/,1,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-03-30,Monday,/webinars/?elementor-preview=19875&ver=1585578056,1,0
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,(entrance),19,19
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/,6,5
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/2020-new-data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/blog/,2,2
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/courses/data-analysis/,4,4
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/courses/professional-software-development/,3,3
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/courses/professional-software-development/apply/,1,1
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/the-codeclan-experience/a-typical-day/,1,1
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/webinars/,2,0
Webinars - CodeClan,/webinars/,2020-03-31,Tuesday,/webinars/?elementor-preview=19875&ver=1585645037,1,0
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,(entrance),10,10
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/,2,2
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/about-us/,1,1
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/coronavirus/,1,1
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/courses/,1,0
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/courses/data-analysis/apply/,1,1
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/courses/professional-software-development/,4,4
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/courses/professional-software-development/apply/,1,1
Webinars - CodeClan,/webinars/,2020-04-01,Wednesday,/webinars/,2,0
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,(entrance),12,12
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/,4,4
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/blog/category/employers/,1,1
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/courses/data-analysis/,3,3
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/courses/professional-software-development/apply/,1,1
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/edinburgh/,1,1
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/events/,1,1
Webinars - CodeClan,/webinars/,2020-04-02,Thursday,/webinars/,2,0
Webinars - CodeClan,/webinars/,2020-04-03,Friday,(entrance),3,3
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/,2,2
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/events/,1,1
Webinars - CodeClan,/webinars/,2020-04-03,Friday,/glasgow/,1,1
Webinars - CodeClan,/webinars/,2020-04-04,Saturday,(entrance),2,2
Webinars - CodeClan,/webinars/,2020-04-04,Saturday,/,1,1
Webinars - CodeClan,/webinars/,2020-04-04,Saturday,/coronavirus/,1,1
Webinars - CodeClan,/webinars/,2020-04-04,Saturday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-04-04,Saturday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-04-05,Sunday,(entrance),1,1
Webinars - CodeClan,/webinars/,2020-04-05,Sunday,/,2,2
Webinars - CodeClan,/webinars/,2020-04-05,Sunday,/courses/professional-software-development/cost-and-funding/,1,1
Webinars - CodeClan,/webinars/,2020-04-05,Sunday,/courses/python-for-developers/,1,1
Webinars - CodeClan,/webinars/,2020-04-06,Monday,(entrance),4,4
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/,4,4
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/2020-new-data-analysis/,4,2
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/about-us/our-team/,1,1
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/coronavirus/,1,0
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/courses/data-analysis/cost-and-funding/,1,0
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/courses/professional-software-development/,2,2
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/courses/understanding-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/Edinburgh/,1,1
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/Glasgow/,1,1
Webinars - CodeClan,/webinars/,2020-04-06,Monday,/webinars/,1,0
Webinars - CodeClan,/webinars/,2020-04-07,Tuesday,(entrance),6,6
Webinars - CodeClan,/webinars/,2020-04-07,Tuesday,/,9,8
Webinars - CodeClan,/webinars/,2020-04-07,Tuesday,/courses/understanding-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-04-07,Tuesday,/for-employers/become-a-partner/,1,1
Webinars - CodeClan,/webinars/,2020-04-07,Tuesday,/webinars/,1,0
Webinars - CodeClan,/webinars/,2020-04-07,Tuesday,/webinars/?elementor-preview=19875&ver=1586269278,1,0
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,(entrance),14,14
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/,8,6
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/2020-new-data-analysis/,1,0
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/blog/,1,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/blog/our-guide-to-funding-our-full-time-courses/,1,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/courses/data-analysis/,2,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/courses/professional-software-development/,2,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/courses/python-for-developers/,2,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/digital-careers/test-engineer/,1,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/events/,1,0
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/the-codeclan-experience/a-typical-day/,1,1
Webinars - CodeClan,/webinars/,2020-04-08,Wednesday,/webinars/,3,0
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,(entrance),12,12
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/,4,3
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/about-us/our-team/,1,1
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/blog/meet-the-team-katie-jeffree/,1,1
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/courses/data-analysis/,2,2
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/courses/data-analysis/?elementor-preview=26451&ver=1586421884,1,0
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/courses/data-analysis/?elementor-preview=26451&ver=1586422155,1,0
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/courses/data-analysis/?elementor-preview=26451&ver=1586430838,1,1
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/courses/data-analysis/info-pack/,1,1
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/courses/professional-software-development/,1,1
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/webinars/,5,0
Webinars - CodeClan,/webinars/,2020-04-09,Thursday,/webinars/?elementor-preview=19875&ver=1586432823,1,0
Webinars - CodeClan,/webinars/,2020-04-10,Friday,(entrance),4,4
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/,2,2
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/blog/,1,1
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/blog/find-inspiration-kats-student-project/,1,1
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/courses/data-analysis/,1,1
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/events/,1,1
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/webinars/,1,0
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/webinars/?preview_id=19875&preview_nonce=295af978d6&preview=true,1,0
Webinars - CodeClan,/webinars/,2020-04-10,Friday,/webinars/?preview_id=19875&preview_nonce=dda609d1fc&preview=true,1,0
Webinars - CodeClan,/webinars/,2020-04-11,Saturday,(entrance),3,3
Webinars - CodeClan,/webinars/,2020-04-11,Saturday,/,1,1
Webinars - CodeClan,/webinars/,2020-04-12,Sunday,/,1,1
Webinars - CodeClan,/webinars/,2020-04-12,Sunday,/courses/data-analysis/,1,0
Webinars - CodeClan,/webinars/,2020-04-12,Sunday,/courses/professional-software-development/,3,2
Webinars - CodeClan,/webinars/,2020-04-13,Monday,(entrance),10,10
Webinars - CodeClan,/webinars/,2020-04-13,Monday,/,9,6
Webinars - CodeClan,/webinars/,2020-04-13,Monday,/coronavirus/,1,1
Webinars - CodeClan,/webinars/,2020-04-13,Monday,/courses/data-analysis/,4,4
Webinars - CodeClan,/webinars/,2020-04-13,Monday,/courses/professional-software-development/,2,2
Webinars - CodeClan,/webinars/,2020-04-14,Tuesday,(entrance),9,9
Webinars - CodeClan,/webinars/,2020-04-14,Tuesday,/,3,3
Webinars - CodeClan,/webinars/,2020-04-14,Tuesday,/courses/data-analysis/,2,2
Webinars - CodeClan,/webinars/,2020-04-14,Tuesday,/courses/professional-software-development/,3,3
Webinars - CodeClan,/webinars/,2020-04-14,Tuesday,/Glasgow/,1,1
Webinars - CodeClan,/webinars/,2020-04-14,Tuesday,/webinars/,2,0
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1584633159,2020-03-19,Thursday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1584633159,2020-04-12,Sunday,(entrance),1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1584970506,2020-03-23,Monday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585118085,2020-03-25,Wednesday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585562676,2020-03-30,Monday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585578056,2020-03-30,Monday,/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585578158,2020-03-30,Monday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585645037,2020-03-31,Tuesday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585647757,2020-03-31,Tuesday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585753604,2020-04-01,Wednesday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1585929109,2020-04-03,Friday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586252676,2020-04-07,Tuesday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586269278,2020-04-07,Tuesday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586421950,2020-04-09,Thursday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586431262,2020-04-09,Thursday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586432823,2020-04-09,Thursday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586516409,2020-04-10,Friday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586520669,2020-04-10,Friday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586769400,2020-04-13,Monday,/webinars/,1,1
Webinars - CodeClan,/webinars/?elementor-preview=19875&ver=1586775164,2020-04-13,Monday,/webinars/,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR0DVoAHsDKhn1COx3wbeId2RmyGGwkN6YeEVqGCgzq9SXCFDqyEYFyeEes,2020-03-31,Tuesday,(entrance),1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR0YsGs8frnLyu1Q9YQTE3eXZWtcHosku97_KkQWBi4D52UEDUmGKmtO2Yc,2020-03-19,Thursday,(entrance),1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR1ZjALev-prSz7RnhjJBGjfzgkizKP-nxDt67FrR_reT6hPhIoyhvxwcV8,2020-03-19,Thursday,(entrance),1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2c7SPZcRR9idpP_kctJRycgeq8RqvgWd1NCJBlfEipulvbgvpscr34WCs,2020-03-19,Thursday,(entrance),1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2h2oGSxo4ew1QYxMdZVttw6_-wO-pFBSYDUNrZPIJ8vlTJNHpz8m_dtrE,2020-04-12,Sunday,(entrance),1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2h2oGSxo4ew1QYxMdZVttw6_-wO-pFBSYDUNrZPIJ8vlTJNHpz8m_dtrE,2020-04-13,Monday,/updates/newsletter-thank-you/,1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,2020-03-19,Thursday,(entrance),1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,2020-04-04,Saturday,(entrance),1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,2020-04-04,Saturday,/webinars/?fbclid=IwAR2kf07Fi3y1C4MVIlAxakYlB3HJ90jmqgXk9pq3JPyoA21zNOwTNMF4KSM,1,0
Webinars - CodeClan,/webinars/?fbclid=IwAR2Kp5S_h3fYqq1Raha_5Df2c59GWd0VYFmvVdRk0VC6xm8MXHoMu8PRhR4,2020-03-19,Thursday,(entrance),1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR2r8kbtO1UF0vnHKCseYbygeMJ8pXRS6CojbHlqvfugxYfVogu0hyw4CO4,2020-03-19,Thursday,(entrance),1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR32-YCc_YniV_rWqU5tVzXFlsRdCv44ifR6OM2eFq9LGYLiJ10Hr5uJxdg,2020-03-19,Thursday,(entrance),1,1
Webinars - CodeClan,/webinars/?fbclid=IwAR3Y8F3G_PruHPZpkS804ypmxUbnDyHXQAC4jCKQoF-jl4b3AYUPjQw6dD4,2020-03-19,Thursday,(entrance),1,1
Webinars - CodeClan,/webinars/?preview_id=19875&preview_nonce=295af978d6&preview=true,2020-04-10,Friday,/2020-new-managing-software-development-teams/,1,1
Webinars - CodeClan,/webinars/?preview_id=19875&preview_nonce=55f2ba9986&preview=true,2020-04-03,Friday,/webinars/?elementor-preview=19875&ver=1585929109,1,1
Webinars - CodeClan,/webinars/?preview_id=19875&preview_nonce=dda609d1fc&preview=true,2020-04-10,Friday,/webinars/?elementor-preview=19875&ver=1586516409,1,1
